Original_Iley_Name;Original_Iley_Category;Iley_Price;Matched_Sougui_Name;Matched_Category;Sougui_Reference,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elegant Red Faux Leather Gift Set with Matching Pen;corporate-gifts, gifts-ideas, home-decor, notebooks, office-supplies, stationery-and-office-supplies;67;Petit mouton en Laine ;Gifts;PML-001-LR,,,,,,,,,,,,,,,,,,,,,,,
Olive Wood Tray for Elegant and Unique Receptions;home-decor, kitchen-dining, tableware, trays;65;Set Gourmet l'éveil céramique Terracotta;Service de Table;SGE-003-NA,,,,,,,,,,,,,,,,,,,,,,,,,
Artisanal Scented Diffuser – Copper & Black Marble – Jasmine or Musk – 120 ml;birthday-gifts, corporate-gifts, gifts-ideas, gifts-for-men, gifts-for-women, home-decor, home-fragrance, interior-decoration, mothers-day-gift, valentines-day-gifts, wedding-accessories;145;Grande Corbeille en fibre végétale;Gifts;CFV-001-MHN,,,,,,,,,,,,,,,,,,
Handmade Gaya Ceramic Deep Plate in different colors;dishes, home-decor, tableware;20;Set de TABLE « Astéria »;Service de Table;SA-001-NA,,,,,,,,,,,,,,,,,,,,,,,,,,
Ceramic coffee mug;home-decor, tableware;15;Set de TABLE « olivéa » en grès ;Service de Table;SOV-001-NA,,,,,,,,,,,,,,,,,,,,,,,,,,,
Handmade Beige Rug for a Chic and Warm Interior;home-decor, rugs, wool-rug;52;Sous plat rond Calligraphie Noire;Déco;SPR-002-RL,,,,,,,,,,,,,,,,,,,,,,,,,,
Fell 100 ml artisanal scented candle for a nostalgic ambiance;beauty-products, candles, candles-and-candle-holders, gifts-ideas, gifts-for-women, home-decor, well-being-health, wellness;14.99;Carafe « el bey » en verre et cuivre martelé;Esprit Romance;CVC-001-KB,,,,,,,,,,,,,,,,,,,,,
Black Lunar Scented Candle 100% Natural & Organic;home-decor;0;Sous plat rond Formes géométriques;Déco;SPR-004-RL,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUBBLE White Rug in Snow White: A Touch of Luxury for Your Home;home-decor, rugs;264.99;Sous plat rond fleurs colorés;Déco;SPR-005-RL,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSLO White Cotton Rug 70×140 cm for an elegant interior;home-decor, rugs;264.99;Pack  saint valentin duo envoutant : planche + tasse;Déco;PDE-001-KER,,,,,,,,,,,,,,,,,,,,,,,,,,,
White Shaggy Cotton Rug 70 x 140 cm Comfort and Luxury at Home;home-decor, rugs;264.99;Tortue doré en beton;Déco;TB-002-FP,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soft Crossed-Thread Rug – 100 x 150 cm;beauty-gift-sets, bed-covers, decorative-objects, home-decor, rugs, throw-blanket, wool-rug;175;Mug Bohème en céramique artisanale – Avec sous-tasse;Gifts;MUG-BOH,,,,,,,,,,,,,,,,,,,,,,
Reversible rug / bedside runner in wool, beige side and blue and beige side – 75 x 115 cm;beauty-gift-sets, bed-covers, birthday-gifts, christmas-gifts, decorative-objects, accessories, gifts-ideas, home-decor, housewarming-gift, jewelry, mothers-day-gift, rugs, tableware, throw-blanket, wool-rug;99;Tortue Noir en béton;Service de Table;TB-001-FP,,,,,,,,,,,,,
Multicolor Round Rug for a Unique and Elegant Style;home-decor, rugs;160;Pack Andalous en Céramique – Élégance et Tradition;Déco;PAC-001-RL,,,,,,,,,,,,,,,,,,,,,,,,,,,
Premium upcycled cotton jacquard throw (2 * 3m);bedding, home-decor, throw-blanket;73.99;Set Calligraphie Arabe – Cruche, Sous-Plat & Planche en Céramique;Déco;SCA-001-RL,,,,,,,,,,,,,,,,,,,,,,,,,
Black Satin Pillowcase 65×50 cm – Luxury & Comfort;birthday-gifts, cushions, decorative-objects, accessories, gifts-ideas, gifts-for-kids, gifts-for-women, hair-accessories, home-decor, interior-decoration, mothers-day-gift;23.9;Planche céramique calligraphie noire;Gifts;PC-005-RL,,,,,,,,,,,,,,,,,,
Hannibal Marbled Ceramic Mug for Refined Coffee;home-decor, kitchen-dining, mugs-and-cups;35;Verre en verre craquelé type 4 a pied tp12b;Verres;VVC-004-OD,,,,,,,,,,,,,,,,,,,,,,,,,,
Reed diffuser available in 3 different scents (Oud, Cotton, Jasmine);decorative-objects, home-decor, interior-decoration;39.99;Magnet Fridge en bois d'olivier;Déco;MFB-001-BF,,,,,,,,,,,,,,,,,,,,,,,,
Ceramic Aperitif Set – Khomsa (7 pieces);ceramics, home-decor, tableware-set, wedding;40;Set de TABLE « olivéa » en grès ;Service de Table;SOV-001-NA,,,,,,,,,,,,,,,,,,,,,,,,,
Woven Thread Bedside Rug – Midnight Blue Fringes – 75 x 115 cm;beauty-gift-sets, decorative-objects, home-decor, rugs, tableware;99;Set « Séli » en Grès Noirs;Service de Table;SSN-001-2M,,,,,,,,,,,,,,,,,,,,,,,,
A5 Multicolor Notebook for Unique and Inspiring Ideas;home-decor, notebooks, office-supplies;40;Couffin artisanal en fibre végétale – Anses cuir & fouta offerte;Déco;COU-CUIR-FOUTA-002,,,,,,,,,,,,,,,,,,,,,,,,,,
Premium A5 Multicolor Notebook for Creative Ideas;home-decor, notebooks, office-supplies;40;Coffret Flamme d’artisan – Jasmin Noir ou Silex;Déco;CFA-001-SO,,,,,,,,,,,,,,,,,,,,,,,,,,
Handcrafted Pottery White Vase – H 30 cm – Dried Flower Bouquet;candles, decorative-objects, home-decor, interior-decoration, sculpture-en, sejnane-pottery, vases-en;75;Peti corbeille en fibre végétale;Esprit Romance;CFV-002-MHN,,,,,,,,,,,,,,,,,,,,,,
Decorative vases with Arabic calligraphy in black and gold;candle-holder, candles-and-candle-holders, decorative-objects, home-decor, vases-en;99;Mug Bohème en céramique artisanale – Avec sous-tasse;Esprit Romance;MUG-BOH,,,,,,,,,,,,,,,,,,,,,,,,
Arabic Calligraphy Ball Vase – Black and Gold;candle-holder, candles-and-candle-holders, decorative-objects, home-decor, vases-en;99;Couffin artisanal en fibre végétale – Elyssa;Esprit Romance;SCO-ELY,,,,,,,,,,,,,,,,,,,,,,,,
Decorative vases with Arabic calligraphy in black and gold;candle-holder, candles-and-candle-holders, decorative-objects, home-decor, vases-en;99;Vase en céramique avec motifs de poissons colorés- Samak;Esprit Romance;VC-001-RL,,,,,,,,,,,,,,,,,,,,,,,,
Laundry basket with lid – Diameter 40 cm, Height 40 cm;bedding, decorative-objects, home-decor, interior-decoration, decouvrez-notre-selection-de-rangements-cuisine-pour-un-espace-organise-et-fonctionnel-bocaux-boites-et-accessoires-pratiques-pour-simplifier-votre-quotidien-avec-style, rugs, tableware, trays, trivet-coaster;225;Tortue Noir en béton;Service de Table;TB-001-FP,,,,,,,,,,,,,,,,,,,
White handcrafted pottery vase – Dried flower bouquet;bougies, decoration-interieur, maison-et-decorations, objet-de-decoration, poterie-de-sejnane, sculpture, vases;75;Ensemble de vases en céramique avec motifs berbères;Esprit Romance;VC-002-RL,,,,,,,,,,,,,,,,,,,,,,
Artisanal olive wood trio candle holder for a warm interior;candles-and-candle-holders, gifts-ideas, home-decor, mothers-day-gift;35;Planche céramique calligraphie bleue;Esprit Romance;PC-001-RL,,,,,,,,,,,,,,,,,,,,,,,,,
Artisanal olive wood trio candle holder for a warm interior;candles-and-candle-holders, gifts-ideas, home-decor, mothers-day-gift;35;Planche céramique calligraphie motif formes géométriques bleu;Esprit Romance;PC-004-RL,,,,,,,,,,,,,,,,,,,,,,,,,
Beige and White Jacquard Three-Piece Curtain, Elegant Gold Embroidered Living Room;home-decor;114.17;Bouteille en Céramique à Motif Fleurs;Déco;BCL-006-RL,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beige and White Jacquard Three-Piece Curtain, Elegant Gold Embroidered Living Room;home-decor;114.17;Boîte en céramique avec calligraphie arabe bleue;Déco;BC-001-RL,,,,,,,,,,,,,,,,,,,,,,,,,,,
Three-piece beige and white jacquard curtain, elegant gold embroidered living room;home-decor;114.17;Boîte rectangulaire en céramique avec couvercle décoré de motifs géométriques;Déco;BC-002-RL,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oval Ashtray;ashtray, home-decor, interior-decoration, office-supplies;20;Boîte carré en céramique avec couvercle décoré de motifs géométriques;Déco;BC-004-RL,,,,,,,,,,,,,,,,,,,,,,,,,
Multicolor pompom bag charm – Bohemian handcrafted accessory (L 22 cm);beauty-gift-sets, birthday-gifts, christmas-gifts, decorative-objects, accessories, gifts-ideas, home-decor, housewarming-gift, jewelry, mothers-day-gift, tableware;59.99;Set « Séa » en Grès Blanc Moucheté;Service de Table;SSB-001-2M,,,,,,,,,,,,,,,,,,
Multicolor pompom bag charm – Bohemian handcrafted accessory (L 22 cm);beauty-gift-sets, birthday-gifts, christmas-gifts, decorative-objects, accessories, gifts-ideas, home-decor, housewarming-gift, jewelry, mothers-day-gift, tableware;59.99;Carafe et 6 Gobelets « Olivéa » en Grès – Élégance Naturelle et Authentique;Service de Table;CGO-001-2M,,,,,,,,,,,,,,,,,,
Black Arabesque Wood and Ceramic Effect Wall Key Holder;decorative-objects, home-decor, tableware;55;Duo de Bouteilles avec Support « Olivéa » en Grès;Service de Table;DBO-001-2M,,,,,,,,,,,,,,,,,,,,,,,,,,
Round tray in patinated greige with studs – Diameter 38 cm;home-decor, tableware, trays, trivet-coaster;145;Carafe et 6 Gobelets « Séa » en Grès – Élégance Naturelle et Authentique;Service de Table;CGS-001-2M,,,,,,,,,,,,,,,,,,,,,,,,,
Set of 3 Palm Baskets;baskets, home-decor, storage;110;Bougie Parfumée Sougui;Couffins & Foutas;BP-001-SO,,,,,,,,,,,,,,,,,,,,,,,,,,
Round Wall Decoration with Colorful Sejnane Pottery Face;decorative-objects, gifts-ideas, hanging-decor, home-decor, housewarming-gift, interior-decoration, mirror, paintings, paintings-posters, photo-frames-and-albums, posters, sejnane-pottery, wall-decor;80;Ensemble décoratif en résine gris;Vases;ED-001-RES,,,,,,,,,,,,,,,,
Elegant Glass Bottle for Healthy Hydration 1 L;home-decor, kitchen-dining, kitchen-utensils;25;Agrafeuse Maped;Déco;AGM-001-LIB,,,,,,,,,,,,,,,,,,,,,,,,,,
DREAM Decorative Gold Ceramic Word (10 cm);beauty-gift-sets, candles, candles-and-candle-holders, decorative-objects, document-holder, gifts-ideas, home-decor, interior-decoration, jewelry, necklaces, paintings, pendant, pendant-necklaces, photo-frames-and-albums, sculpture-en;65;Jeu talla3 b tounsi ;Esprit Romance;TBT-001-SS,,,,,,,,,,,,,,
Decorative fish statue on base with black stripes;birthday-gifts, ceramics, christmas-gifts, corporate-gifts, decorative-objects, accessories, gifts-ideas, gifts-for-kids, gifts-for-women, home-decor, housewarming-gift, interior-decoration, mothers-day-gift, newborn-gifts, valentines-day-gifts;159.99;Jeu el Bandi;Céramiques;JB-001-SS,,,,,,,,,,,,,,
Blue and White Ceramic Vase – Handcrafted Finish – H 20 cm Diam 20 cm;beauty-gift-sets, birthday-gifts, christmas-gifts, corporate-gifts, decorative-objects, desk-lamp, gifts-ideas, gifts-for-kids, gifts-for-men, gifts-for-women, home-decor, housewarming-gift, interior-decoration, mothers-day-gift, paintings, valentines-day-gifts, vases-en, wedding;165;Ensemble décoratif grand modèle;Vases;ED-005-RES,,,,,,,,,,,
O-shaped Candle Holder with Calligraphy;birthday-gifts, candle-holder, candles, candles-and-candle-holders, christmas-gifts, corporate-gifts, decorative-objects, gifts-ideas, gifts-for-men, home-decor, housewarming-gift, interior-decoration, mothers-day-gift, scented-wax-melts, valentines-day-gifts, vases-en;75;Jeu Loup Garou;Esprit Romance;JLG-001-SS,,,,,,,,,,,,,
Blue ceramic lamp and straw lampshade;ceramics, christmas-gifts, decorative-objects, home-decor, interior-decoration, lighting-and-chandeliers;240;Jeu Nes Bekri Kalou;Céramiques;NBK-001-OSL,,,,,,,,,,,,,,,,,,,,,,,
Blue Ceramic Lamp with Straw Lampshade;ceramics, christmas-gifts, decorative-objects, home-decor, interior-decoration, lighting-and-chandeliers;240;Jeu d'échecs petit modèle en bois d'olivier;Céramiques;JEB-001-BF,,,,,,,,,,,,,,,,,,,,,,,
